"What is a super top-up plan?","It covers expenses exceeding a threshold (e.g., ₹5 lakh) after exhausting base policy limits."
"What is the difference between ULIP and traditional plans?","ULIPs combine insurance + investment, while traditional plans offer fixed returns."
"How are ULIP returns calculated?","Returns depend on market-linked fund performance (equity/debt) chosen by you."
"What is a systematic withdrawal plan (SWP) in ULIPs?","Allows partial withdrawals from your ULIP fund value at regular intervals."
"Can I switch ULIP funds?","Yes, most insurers allow switching between equity/debt funds based on your risk appetite."
"What is a guaranteed surrender value?","The minimum amount refunded if you surrender a policy after 3+ years (varies by plan)."
"What is an annuity plan?","Provides regular income (monthly/quarterly) after retirement in exchange for a lump sum or premiums."
"What is a child insurance plan?","Combines life coverage + savings for a child’s future needs (e.g., education, marriage)."
"What is a money-back policy?","Pays periodic survival benefits during the policy term + lump sum at maturity."
"What is an accidental death benefit rider?","Pays an extra sum (on top of base coverage) if death occurs due to an accident."
"What is a terminal illness rider?","Allows early payout of a portion of the sum insured if diagnosed with a terminal illness."
"What is a hospital cash rider?","Pays a fixed daily amount for each day of hospitalization, regardless of bills."
"What is a critical illness rider?","Pays a lump sum on diagnosis of specific illnesses (e.g., kidney failure, major burns)."
"How do I calculate the sum insured needed?","Consider liabilities (loans), income replacement, and future expenses (e.g., child’s education)."
"What is the ‘human life value’ concept?","Calculates insurance need based on your income, expenses, and dependents’ future needs."
"Can I take a loan against my policy?","Yes, endowment/ULIP/whole life policies allow loans (up to 80-90% of surrender value)."
"How do I check my policy’s fund value (for ULIPs)?","Log in to your online account or check the annual statement sent by the insurer."
"What is an insurance ombudsman?","A grievance redressal authority for disputes with insurers. Contact details are on IRDAI’s website."
"What is IRDAI?","Insurance Regulatory and Development Authority of India—governs insurance companies in India."
"Can I buy insurance without an agent?","Yes, policies can be bought directly online or through insurer websites."
"What is an instant policy?","Policies issued immediately (e.g., term plans) without medical tests for low coverage amounts."
"What is a medical underwriter?","A professional who assesses health risks before approving your policy."
"What is a proposal form?","A form filled during policy purchase with personal, health, and nominee details."
"What is a policy bond?","The legal document outlining your policy’s terms, conditions, and benefits."
"What is a lapse in policy?","When premiums are unpaid beyond the grace period, leading to loss of benefits."
"What is reinstatement?","Reviving a lapsed policy by paying overdue premiums + interest, subject to terms."
"What is a moratorium period?","In health insurance, after 8 years of continuous coverage, no claims can be denied (except fraud)."
"What is AYUSH treatment coverage?","Covers Ayurveda, Yoga, Unani, Siddha, and Homeopathy treatments if hospitalized."
"What is a restoration benefit?","Reinstates the sum insured (once per year) if exhausted during a claim."
"What is a bariatric surgery cover?","Covers weight-loss surgery in some policies, usually after a waiting period."
"What is a domiciliary hospitalization?","Covers treatment at home if hospitalization isn’t possible but meets policy criteria."
"What is a non-network hospital claim?","You pay bills first and later get reimbursed after submitting documents."
"What is a third-party administrator (TPA)?","An intermediary that processes health claims on behalf of insurers."
"How do I port my car insurance?","Submit a request to the new insurer 60 days before renewal; they’ll handle the switch."
"What is zero depreciation cover?","Motor add-on that covers full claim amount without deducting for depreciation of parts."
"What is an engine protector add-on?","Covers engine damage due to water ingression or oil leakage (excluded in basic policies)."
"What is a consumables cover?","Covers items like nuts, bolts, and fluids in health/motor claims (usually excluded)."
"What is a personal accident cover?","Pays for injuries/death due to accidents, separate from life insurance."
"What is key person insurance?","A policy taken by businesses to cover financial loss if a key employee dies."
"What is a group term insurance?","Employer-provided life coverage for employees, usually for 1-3x annual salary."
"What is a top-up health plan?","Additional coverage that kicks in after exhausting the base policy’s sum insured."
"What is a daily hospital cash benefit?","Pays a fixed amount (e.g., ₹2,000/day) for each day of hospitalization."
"What is a global coverage option?","Health add-on for treatment abroad, subject to limits and terms."
"What is a wellness benefit?","Rewards (e.g., gym discounts) for maintaining health, offered by some insurers."
"What is a telemedicine benefit?","Free doctor consultations via phone/video, included in some health policies."
"What is a second opinion benefit?","Coverage for consulting another specialist to confirm a diagnosis."
"What is a home healthcare benefit?","Covers nursing or physiotherapy at home post-hospitalization."
"What is a pet insurance?","Covers veterinary expenses for pets (rare in India, offered by few insurers)."
"What is cyber insurance?","Covers financial losses due to cybercrime (e.g., phishing, data breaches)."
"What is gadget insurance?","Covers repair/replacement of phones/laptops against damage or theft."
"What is travel insurance for Schengen visa?","Mandatory policy for Schengen countries with €30,000+ medical coverage."
"What is an annual multi-trip policy?","Single travel policy covering unlimited trips in a year (within specified durations)."
"What is missed departure cover?","Reimburses extra costs if you miss a flight due to delays (included in travel policies)."
"What is lost baggage cover?","Compensates for baggage delayed/lost by airlines (typically up to ₹50,000)."
"What is adventure sports cover?","Add-on for risky activities (e.g., scuba diving, skiing) in travel policies."
"What is rental car excess cover?","Pays the deductible if a rented car is damaged/stolen (in travel insurance)."
"What is third-party liability in travel insurance?","Covers legal costs if you accidentally injure someone/damage property abroad."
"What is terrorism cover?","Compensates for cancellations/injuries due to terrorist acts (in travel policies)."
"What is a home content insurance?","Covers furniture, electronics, and valuables against theft/damage at home."
"What is a home structure insurance?","Covers the physical building (walls, roof) against fire, earthquakes, etc."
"What is renters’ insurance?","Covers tenants’ belongings and liability (not the building itself)."
"What is jewelry insurance?","Add-on to home policies for high-value items like gold/diamonds (requires valuation)."
"What is an inflation guard clause?","Auto-adjusts home insurance sum insured yearly to account for inflation."
"What is a reinstatement clause?","Pays to rebuild your home to its original state (not just market value)."
"What is public liability cover?","Covers legal costs if someone is injured on your property (e.g., a guest slips)."
"What is professional indemnity insurance?","Covers legal costs if a client sues for errors in your professional services."
"What is directors and officers (D&O) insurance?","Protects company leaders from personal losses due to lawsuits."
"What is marine cargo insurance?","Covers goods during transit by ship/air/road against damage or loss."
"What is business interruption insurance?","Compensates for lost income if operations halt due to covered risks (e.g., fire)."
"What is workmen’s compensation insurance?","Mandatory for employers to cover employee injuries/deaths at work."
"What is fidelity guarantee insurance?","Covers losses due to employee fraud/theft (e.g., embezzlement)."
"What is product liability insurance?","Covers lawsuits if your product causes harm (e.g., food poisoning)."
"What is an insurance aggregator?","A platform (e.g., Policybazaar) to compare/buy policies from multiple insurers."
"What is an insurtech company?","Startups using tech (AI, blockchain) to simplify insurance processes."
"What is a Bancassurance model?","Banks selling insurance products as corporate agents for insurers."
"What is underinsured risk?","When sum insured is less than actual value (e.g., ₹5L for a ₹10L home)."
"What is overinsurance?","Paying for coverage exceeding actual risk (e.g., ₹2Cr term insurance with no liabilities)."
"What is subrogation in insurance?","Insurer’s right to recover claim costs from a third party at fault (e.g., a negligent driver)."
"What is a non-disclosure penalty?","Claim rejection if you hide pre-existing conditions or misrepresent facts."
"What is a ‘act of God’ clause?","Excludes natural disasters (e.g., floods, earthquakes) unless specifically covered."
"What is a ‘named perils’ policy?","Covers only risks explicitly listed (e.g., fire, theft), not all damages."
"What is an ‘all-risk’ policy?","Covers all damages except those explicitly excluded (broader than named perils)."
"What is a first-party claim?","Claim for your own losses (e.g., car repairs after an accident you caused)."
"What is a third-party claim?","Claim against someone else’s policy (e.g., suing a driver who hit your car)."
"What is a ‘no-fault’ claim?","Insurer pays your claim regardless of who caused the accident (e.g., in some motor policies)."
"What is a ‘deductible buy-back’ add-on?","Reduces/eliminates your deductible for an extra premium."
"What is a ‘premium loading’?","Higher charges due to risk factors (e.g., smoking, hazardous occupation)."
"What is a ‘cooling-off period’?","Timeframe (e.g., 30 days) to cancel a policy after purchase for a full refund."
"What is a ‘survival period’ in critical illness?","Time (e.g., 30 days) you must survive post-diagnosis to receive the payout."
"What is ‘return of premium’ term insurance?","Refunds all premiums paid if you outlive the policy term."
"What is ‘level term’ insurance?","Sum insured remains constant throughout the policy term."
"What is ‘increasing term’ insurance?","Sum insured rises yearly (e.g., to counter inflation)."
"What is ‘decreasing term’ insurance?","Sum insured reduces over time (e.g., for loans where liability falls yearly)."
"What is ‘joint life’ insurance?","Covers two people (e.g., spouses), paying out on the first death."
"What is ‘group credit life’ insurance?","Pays off a borrower’s loan if they die (common with home/mortgage loans)."
"What is ‘keyman insurance’?","Compensates a business for financial loss if a key employee dies."
"What is ‘mortgage protection insurance’?","Pays off your home loan if you die or become disabled."
"What is ‘dread disease’ coverage?","Another term for critical illness insurance (covers cancer, stroke, etc.)."
"What is ‘hospital indemnity’ insurance?","Pays fixed cash for each hospitalization day, regardless of bills."
"What is ‘short-term’ health insurance?","Temporary coverage (1-12 months) for gaps between long-term policies."
"What is ‘catastrophic’ health insurance?","Covers severe illnesses/accidents with very high deductibles (low premiums)."
"What is ‘Mediclaim’?","A generic term for health insurance in India (originally a product name by GIC)."
"What is ‘super top-up’ vs ‘top-up’?","Super top-up ignores individual claim thresholds; covers aggregate excess."
"What is ‘restoration with same illness’?","Reinstates sum insured even for the same disease in the same year."
"What is ‘automatic restoration’?","Sum insured is restored automatically after exhaustion, without a waiting period."
"What is ‘AYUSH day-care’?","Covers alternative treatments (e.g., Ayurveda) requiring <24-hour hospitalization."
"What is ‘domiciliary hospitalization’?","Covers home treatment deemed medically equivalent to hospitalization."
"What is ‘hassle-free’ claims?","Insurers waive documents for small claims (e.g., under ₹5,000) based on trust."
"What is ‘instant issuance’?","Policies issued immediately online without medical checks (for low sums insured)."
"What is ‘tele-underwriting’?","Health assessments done via video calls/questionnaires instead of physical tests."
"What is ‘continuous coverage’ bonus?","Extra benefits (e.g., no new waiting periods) for renewing without breaks."
"What is ‘lifetime renewability’?","Health policies that can be renewed indefinitely, even at old age."
"What is ‘premium rate lock’?","Guarantees fixed premiums for a set period (e.g., 5 years) despite age/claims."
"What is ‘co-insurance’?","Shared risk between insurer and policyholder (e.g., insurer pays 80%, you pay 20%)."
"What is ‘stop-loss’ in insurance?","Maximum out-of-pocket you’ll pay in a year; insurer covers 100% beyond this."
"What is ‘aggregate deductible’?","Total deductible across multiple claims in a policy year (vs. per-claim deductible)."
"What is ‘embedded deductible’?","A hidden deductible within a co-payment clause (rare in Indian policies)."
"What is ‘first-dollar coverage’?","No deductibles/copays—insurer pays from the first rupee of a claim."
"What is ‘loss of license’ cover?","Compensates professionals (e.g., doctors) if legally barred from practicing."
"What is ‘business overhead’ insurance?","Pays rent, salaries, etc., if the owner is disabled and can’t work."
"What is ‘buy-sell agreement’ funding?","Life insurance ensures partners can buy a deceased partner’s business share."
"What is ‘errors & omissions’ insurance?","Covers legal costs for professionals (e.g., architects) sued over mistakes."
"What is ‘employment practices liability’?","Covers lawsuits from employees (e.g., wrongful termination, harassment)."
"What is ‘crop insurance’?","Compensates farmers for crop damage due to weather, pests, or price drops."
"What is ‘livestock insurance’?","Covers death/disease of cattle, poultry, etc., for farmers/dairy businesses."
"What is ‘event cancellation’ insurance?","Refunds costs if an event (e.g., wedding) is canceled due to emergencies."
"What is ‘prize indemnity’ insurance?","Covers cash/prizes for contests/game shows (if a winner is declared)."
"What is ‘kidnap & ransom’ insurance?","Pays ransom + crisis management for kidnappings (for high-net-worth individuals)."
"What is ‘political risk’ insurance?","Covers businesses against losses from government actions (e.g., expropriation)."
"What is ‘trade credit’ insurance?","Protects suppliers if a buyer defaults on payments (common in exports)."
"What is ‘aviation insurance’?","Covers aircraft damage, passenger liability, and flight cancellations."
"What is ‘hull insurance’ for ships?","Covers physical damage to a vessel (like motor insurance for cars)."
"What is ‘protection & indemnity’ (P&I) insurance?","Covers shipowners’ liabilities (e.g., oil spills, crew injuries)."
"What is ‘cyber liability’ insurance?","Covers data breaches, ransomware attacks, and legal fines for businesses."
"What is ‘media liability’ insurance?","Protects publishers/broadcasters from lawsuits (e.g., defamation, copyright)."
"What is ‘intellectual property’ insurance?","Covers legal costs to defend patents/trademarks."
"What is ‘environmental liability’ insurance?","Covers cleanup costs/fines for pollution (e.g., factory chemical leaks)."
"What is ‘directors & officers’ (D&O) insurance?","Protects executives from personal liability for company decisions."
"What is ‘fiduciary liability’ insurance?","Covers mismanagement of employee benefits (e.g., pensions, 401(k))."
"What is ‘crime insurance’?","Covers theft, fraud, or forgery by employees/third parties."
"What is ‘surety bond’ insurance?","Guarantees contractual obligations (e.g., construction projects)."
"What is ‘title insurance’?","Protects homebuyers against legal defects in property ownership history."
"What is ‘warranty insurance’?","Covers repairs for appliances/vehicles beyond the manufacturer’s warranty."
"What is ‘gap insurance’ for cars?","Pays the difference between a car’s insured value and loan balance if totaled."
"What is ‘equipment breakdown’ insurance?","Covers repairs for machinery (e.g., AC, elevators) in homes/businesses."
"What is ‘boiler & machinery’ insurance?","Legacy term for equipment breakdown coverage (industrial focus)."
"What is ‘difference in conditions’ (DIC) insurance?","Fills gaps in standard policies (e.g., flood coverage in home insurance)."
"What is ‘parametric insurance’?","Pays claims based on triggers (e.g., earthquake magnitude) vs. actual losses."
"What is ‘microinsurance’?","Low-premium policies for low-income groups (e.g., ₹1/day health plans)."
"What is ‘peer-to-peer’ (P2P) insurance?","Groups pool premiums to cover each other’s claims (cuts insurer profits)."
"What is ‘blockchain insurance’?","Smart contracts automate claims (e.g., flight delay payouts via blockchain)."
"What is ‘usage-based’ insurance?","Premiums adjust based on behavior (e.g., safe driving tracked via telematics)."
"What is ‘on-demand’ insurance?","Coverage activated only when needed (e.g., hourly travel insurance)."
"What is ‘insurtech’?","Technology (AI, IoT) disrupting insurance (e.g., chatbots for claims, wearables for discounts)."
"What is ‘embedded insurance’?","Coverage sold with products (e.g., phone insurance at checkout on Amazon)."
"What is ‘green insurance’?","Discounts for eco-friendly choices (e.g., hybrid cars, solar-paneled homes)."
"What is ‘pet insurance’?","Covers vet bills for accidents/illnesses (excludes pre-existing conditions)."
"What is ‘exotic pet insurance’?","Coverage for rare pets (e.g., parrots, reptiles) with higher premiums."
"What is ‘livestock mortality’ insurance?","Compensates farmers for death of cattle/poultry due to accidents/disease."
"What is ‘aquaculture insurance’?","Covers fish/shrimp farms against disease, pollution, or natural disasters."
"What is ‘bee insurance’?","Protects beekeepers against hive loss (theft, disease, pesticides)."
"What is ‘bloodstock insurance’?","Covers racehorses’ mortality, infertility, or loss of use."
"What is ‘cancellation insurance’ for events?","Refunds deposits if weddings/conferences cancel due to emergencies."
"What is ‘hole-in-one’ insurance?","Pays prize costs if a golfer hits a hole-in-one at a tournament."
"What is ‘weather insurance’?","Compensates for losses due to rain, frost, etc. (e.g., outdoor wedding cancellations)."
"What is ‘event liability’ insurance?","Covers injuries/property damage at concerts, fairs, etc."
"What is ‘terrorism insurance’?","Government-backed coverage for attacks (e.g., Mumbai 26/11-type incidents)."
"What is ‘active shooter’ insurance?","Covers businesses for mass shooting-related losses (common in the US)."
"What is ‘pandemic insurance’?","Coverage for business interruptions due to outbreaks (excluded in most policies post-COVID)."
"What is ‘epidemic endorsement’?","Add-on to cover limited infectious disease risks (e.g., dengue, malaria)."
"What is ‘business interruption’ due to disease?","Compensates lost income if forced to close by health authorities."
"What is ‘civil authority’ coverage?","Pays when access to your business is restricted (e.g., lockdowns)."
"What is ‘contingent business interruption’?","Covers losses if a supplier/customer is disrupted (e.g., factory fire)."
"What is ‘service interruption’ insurance?","Compensates for utility outages (e.g., power, water) affecting business."
"What is ‘ransomware insurance’?","Covers ransom payments + data recovery after a cyberattack."
"What is ‘social engineering fraud’ coverage?","Protects against scams tricking employees to transfer money (e.g., fake CEO emails)."
"What is ‘crypto insurance’?","Covers theft of cryptocurrencies from wallets/exchanges (rare, high-risk)."
"What is ‘NFT insurance’?","Emerging coverage for non-fungible token theft/damage (experimental)."
"What is ‘deepfake fraud’ insurance?","Covers losses from AI-generated fake identities/voices in scams."
"What is ‘space tourism insurance’?","Covers passengers on commercial spaceflights (e.g., Virgin Galactic)."
"What is ‘satellite insurance’?","Covers launch failures, orbital malfunctions, or space debris damage."
"What is ‘drone insurance’?","Covers damage/theft of drones + liability for third-party injuries."
"What is ‘autonomous vehicle’ insurance?","Debated model: manufacturer vs. owner liability for self-driving cars."
"What is ‘e-bike insurance’?","Specialized coverage for electric bicycles (theft, accidents, battery fires)."
"What is ‘shared mobility’ insurance?","Covers car/bike rentals (e.g., Zoomcar, Bounce) on a per-use basis."
"What is ‘pay-per-mile’ insurance?","Premiums based on miles driven (tracked via OBD devices/mobile apps)."
"What is ‘black box’ car insurance?","Telematics device monitors driving behavior (speed, braking) for discounts."
"What is ‘OEM parts’ coverage?","Guarantees genuine manufacturer parts for car repairs (vs. cheaper duplicates)."
"What is ‘classic car’ insurance?","Agreed-value coverage for vintage cars (accounting for appreciation)."
"What is ‘modified car’ insurance?","Covers aftermarket upgrades (e.g., turbo engines, custom paint)."
"What is ‘kit car’ insurance?","Coverage for self-assembled vehicles (e.g., replica Ferraris built from kits)."
"What is ‘off-road vehicle’ insurance?","Covers ATVs, dirt bikes, etc., for non-highway use."
"What is ‘salvage title’ insurance?","High-risk coverage for cars previously declared total losses (flood/fire damage)."
"What is ‘non-standard auto’ insurance?","For drivers with DUIs, accidents, or poor credit (higher premiums)."
"What is ‘assigned risk’ pool?","State-mandated coverage for high-risk drivers rejected by insurers."
"What is ‘rideshare insurance’?","Covers Uber/Ola drivers during periods without passengers (personal policies exclude this)."
"What is ‘commercial auto’ insurance?","For vehicles used for business (e.g., delivery vans, taxis)."
"What is ‘intermodal insurance’?","Covers goods transported via multiple modes (ship + truck + rail)."
"What is ‘logistics liability’ insurance?","Protects freight forwarders/couriers against cargo damage/delays."
"What is ‘marine hull’ insurance?","Covers ships/boats for collisions, sinking, or piracy."
"What is ‘protection & indemnity’ (P&I) club?","Mutual insurance groups for shipowners’ liability risks."
"What is ‘cargo insurance’?","Covers goods in transit against damage, theft, or delays."
"What is ‘aircraft hull’ insurance?","Covers physical damage to planes (like motor insurance for cars)."
"What is ‘aviation liability’ insurance?","Covers passenger injuries/damage caused by aircraft to third parties."
"What is ‘war risk’ aviation insurance?","Add-on for conflicts/no-fly zones (excluded in standard policies)."
"What is ‘unmanned aerial vehicle (UAV) insurance’?","Covers drones for commercial use (e.g., photography, surveys)."
"What is ‘hijacking’ insurance?","Compensates airlines for ransom, rescue costs, or plane recovery."
